Date,US,Sweden,Norway,Korea,Canada,New Zealand,United Kingdom,Australia,Japan,Switzerland
Nov-20,0.15%,-0.03%,0.67%,1.51%,0.60%,0.54%,0.31%,0.82%,0.04%,-0.52%
Oct-20,0.14%,-0.08%,0.65%,1.50%,0.56%,0.56%,0.27%,0.90%,0.04%,-0.50%
Sep-20,0.15%,-0.04%,0.69%,1.33%,0.56%,0.68%,0.27%,0.89%,0.02%,-0.41%
Aug-20,0.16%,-0.07%,0.61%,1.23%,0.52%,0.91%,0.21%,0.88%,0.05%,-0.53%
Jul-20,0.15%,-0.01%,0.65%,1.25%,0.56%,0.90%,0.28%,0.92%,0.01%,-0.44%
Jun-20,0.16%,-0.06%,0.47%,1.28%,0.55%,0.64%,0.27%,0.91%,0.03%,-0.47%
May-20,0.18%,-0.07%,0.70%,1.30%,0.66%,0.95%,0.36%,0.86%,0.00%,-0.49%
Apr-20,0.33%,-0.17%,0.93%,1.41%,0.82%,1.08%,0.46%,0.89%,-0.04%,-0.37%
Mar-20,0.99%,-0.05%,1.35%,1.40%,1.29%,1.28%,0.63%,0.98%,0.01%,-0.83%
Feb-20,1.52%,0.11%,1.39%,1.46%,1.49%,1.48%,0.72%,1.15%,-0.16%,-0.70%
Jan-20,1.66%,0.07%,1.47%,1.59%,1.60%,1.53%,0.83%,1.20%,-0.07%,-0.46%
Dec-19,1.76%,0.00%,1.45%,1.61%,1.50%,1.35%,0.77%,1.15%,-0.03%,-0.58%
Nov-19,1.70%,-0.16%,1.26%,1.70%,1.45%,1.16%,0.64%,1.03%,-0.08%,-0.51%
Oct-19,1.78%,-0.23%,1.21%,1.56%,1.36%,1.16%,0.60%,1.03%,-0.15%,-0.70%
Sep-19,2.02%,-0.29%,1.15%,1.44%,1.21%,1.13%,0.58%,0.95%,-0.22%,-0.98%
Aug-19,2.09%,-0.12%,1.44%,1.26%,1.52%,1.55%,0.83%,1.31%,-0.28%,-0.65%
Jul-19,2.22%,-0.09%,1.43%,1.48%,1.46%,1.63%,0.92%,1.38%,-0.16%,-0.48%
Jun-19,2.40%,0.07%,1.66%,1.61%,1.66%,1.79%,1.13%,1.65%,-0.17%,-0.45%
May-19,2.43%,0.23%,1.71%,1.80%,1.72%,1.96%,1.19%,1.86%,-0.10%,-0.27%
Apr-19,2.48%,0.29%,1.66%,1.85%,1.71%,2.02%,1.19%,1.96%,-0.05%,-0.35%
Mar-19,2.49%,0.36%,1.71%,1.92%,1.91%,2.18%,1.24%,2.13%,-0.10%,-0.24%
Feb-19,2.49%,0.43%,1.78%,1.95%,1.95%,2.33%,1.32%,2.27%,-0.02%,-0.21%
Jan-19,2.51%,0.47%,1.83%,1.97%,2.06%,2.45%,1.31%,2.43%,0.00%,-0.15%
Dec-18,2.50%,0.60%,1.94%,1.99%,2.41%,2.69%,1.45%,2.68%,-0.01%,-0.02%
Nov-18,2.35%,0.67%,2.00%,2.18%,2.49%,2.62%,1.55%,2.68%,0.09%,0.07%
Oct-18,2.31%,0.60%,1.90%,2.30%,2.35%,2.60%,1.50%,2.63%,0.13%,0.11%
Sep-18,2.26%,0.52%,1.77%,2.25%,2.30%,2.64%,1.40%,2.59%,0.13%,-0.03%
Aug-18,2.11%,0.51%,1.76%,2.36%,2.19%,2.81%,1.37%,2.64%,0.11%,0.04%
Jul-18,2.08%,0.55%,1.82%,2.49%,2.21%,2.90%,1.42%,2.70%,0.06%,-0.01%
Jun-18,2.09%,0.66%,1.89%,2.60%,2.38%,2.78%,1.50%,2.79%,0.03%,-0.01%
May-18,2.00%,0.71%,1.93%,2.69%,2.25%,2.82%,1.51%,2.74%,0.03%,0.12%
Apr-18,1.91%,0.77%,1.99%,2.61%,2.19%,2.89%,1.51%,2.72%,0.05%,0.05%
Mar-18,1.88%,0.91%,1.98%,2.69%,2.32%,2.97%,1.60%,2.86%,0.05%,0.12%
Feb-18,1.67%,0.85%,1.74%,2.70%,2.20%,2.88%,1.39%,2.75%,0.05%,0.10%
Jan-18,1.58%,0.72%,1.57%,2.60%,1.92%,2.76%,1.28%,2.58%,0.08%,-0.10%
Dec-17,1.56%,0.76%,1.59%,2.46%,1.92%,2.85%,1.33%,2.57%,0.05%,-0.05%
Nov-17,1.37%,0.88%,1.66%,2.52%,2.05%,2.97%,1.38%,2.78%,0.04%,-0.03%
Oct-17,1.24%,0.62%,1.59%,2.38%,2.05%,2.91%,1.24%,2.70%,0.07%,0.02%
Sep-17,1.23%,0.63%,1.62%,2.16%,1.88%,2.88%,1.12%,2.60%,0.06%,-0.11%
Aug-17,1.23%,0.66%,1.69%,2.16%,1.91%,2.97%,1.27%,2.64%,0.01%,0.06%
Jul-17,1.23%,0.46%,1.53%,2.10%,1.50%,2.77%,1.08%,2.41%,0.08%,-0.03%
Jun-17,1.22%,0.56%,1.59%,2.03%,1.51%,2.93%,1.12%,2.54%,0.08%,-0.15%
May-17,1.06%,0.57%,1.61%,2.07%,1.52%,3.05%,1.08%,2.56%,0.04%,-0.10%
Apr-17,1.00%,0.69%,1.77%,2.03%,1.71%,3.28%,1.19%,2.81%,0.02%,-0.10%
Mar-17,0.98%,0.66%,1.74%,2.08%,1.70%,3.29%,1.31%,2.75%,0.07%,-0.21%
Feb-17,0.79%,0.65%,1.69%,2.02%,1.72%,3.23%,1.42%,2.73%,0.05%,-0.07%
Jan-17,0.78%,0.61%,1.76%,1.99%,1.73%,3.33%,1.43%,2.79%,0.09%,-0.14%
Dec-16,0.77%,0.43%,1.58%,2.06%,1.44%,2.99%,1.38%,2.51%,0.04%,-0.13%
Nov-16,0.62%,0.24%,1.34%,1.92%,1.17%,2.53%,1.08%,2.20%,0.02%,-0.36%
Oct-16,0.53%,0.22%,1.23%,1.57%,1.09%,2.40%,0.82%,1.99%,-0.05%,-0.52%
Sep-16,0.53%,0.10%,1.07%,1.45%,1.04%,2.19%,0.74%,1.88%,-0.09%,-0.46%
Aug-16,0.52%,0.17%,0.96%,1.35%,1.05%,2.27%,0.96%,1.93%,-0.07%,-0.54%
Jul-16,0.50%,0.52%,1.17%,1.34%,1.17%,2.51%,1.31%,2.12%,-0.20%,-0.51%
Jun-16,0.47%,0.77%,1.40%,1.50%,1.35%,2.67%,1.54%,2.32%,-0.23%,-0.30%
May-16,0.47%,0.81%,1.30%,1.66%,1.34%,2.86%,1.57%,2.52%,-0.12%,-0.25%
Apr-16,0.44%,0.82%,1.33%,1.69%,1.27%,3.02%,1.54%,2.57%,-0.09%,-0.39%
Mar-16,0.44%,0.77%,1.39%,1.74%,1.12%,3.06%,1.50%,2.48%,-0.05%,-0.45%
Feb-16,0.44%,0.77%,1.45%,1.72%,1.26%,3.31%,1.78%,2.73%,-0.07%,-0.30%
Jan-16,0.43%,0.93%,1.55%,1.92%,1.46%,3.55%,1.92%,2.85%,0.10%,-0.04%
Dec-15,0.43%,0.80%,1.63%,2.06%,1.63%,3.49%,1.98%,2.85%,0.27%,-0.31%
Nov-15,0.24%,0.66%,1.57%,2.05%,1.46%,3.34%,1.85%,2.62%,0.30%,-0.27%
Oct-15,0.19%,0.71%,1.60%,1.91%,1.48%,3.29%,1.88%,2.70%,0.30%,-0.10%
Sep-15,0.19%,0.66%,1.49%,1.98%,1.39%,3.29%,1.98%,2.72%,0.35%,-0.12%
Aug-15,0.20%,0.81%,1.70%,2.10%,1.57%,3.47%,2.14%,2.90%,0.38%,-0.04%
Jul-15,0.19%,0.99%,1.77%,2.24%,1.78%,3.77%,2.17%,2.98%,0.41%,0.10%
Jun-15,0.19%,0.75%,1.65%,2.23%,1.74%,3.65%,2.02%,2.88%,0.46%,-0.03%
May-15,0.18%,0.34%,1.44%,2.25%,1.41%,3.25%,1.76%,2.41%,0.39%,0.04%
Apr-15,0.18%,0.58%,1.54%,1.95%,1.42%,3.30%,1.79%,2.48%,0.34%,0.00%
Mar-15,0.18%,0.62%,1.39%,2.06%,1.38%,3.26%,1.74%,2.50%,0.40%,0.01%
Feb-15,0.17%,0.78%,1.45%,2.20%,1.53%,3.42%,1.59%,2.64%,0.33%,-0.07%
Jan-15,0.17%,1.01%,1.77%,2.26%,1.85%,3.77%,1.93%,2.96%,0.28%,0.38%
Dec-14,0.17%,1.14%,2.05%,2.44%,2.00%,4.03%,2.16%,3.26%,0.33%,0.41%
Nov-14,0.15%,1.30%,2.21%,2.42%,2.01%,4.04%,2.25%,3.32%,0.42%,0.56%
Oct-14,0.16%,1.51%,2.40%,2.54%,2.18%,4.19%,2.49%,3.55%,0.47%,0.59%
Sep-14,0.16%,1.58%,2.36%,2.77%,2.06%,4.20%,2.53%,3.41%,0.50%,0.53%
Aug-14,0.16%,1.60%,2.43%,2.89%,2.19%,4.37%,2.73%,3.47%,0.49%,0.62%
Jul-14,0.16%,1.80%,2.61%,2.89%,2.30%,4.42%,2.78%,3.70%,0.53%,0.71%
Jun-14,0.16%,1.88%,2.73%,3.09%,2.32%,4.29%,2.70%,3.78%,0.54%,0.77%
May-14,0.15%,2.06%,2.88%,3.23%,2.44%,4.55%,2.74%,4.03%,0.57%,0.86%
